#,Reference,Designation,Unite,Fournisseur,PU_HT,PU_TTC
239,DRO-VA5,Vernis Mat 5KG ATLAS,Unité,DROGERIE AL MASSAR,200,240
240,DRO-VAZ,Vernis Acrylique Z2 ATLAS 1KG,Unité,DROGERIE AL MASSAR,108.3,130
241,DRO-VAN,Vernis Affiche Noyer 1KG,Unité,DROGERIE AL MASSAR,44.17,53
242,DRO-VLC,Vernis Cellulosique,Unité,DROGERIE AL MASSAR,44.17,53
243,DRO-FGB,Fengiboi Noyer 1KG,Unité,DROGERIE AL MASSAR,16.67,20
244,DRO-TAN,Tante Noyer,Unité,DROGERIE AL MASSAR,25,30
245,DRO-DL5,Diluant 5L Logic,Bidon,DROGERIE AL MASSAR,91.67,110
246,DRO-DS5,Diluant 5L Sodicso,Bidon,DROGERIE AL MASSAR,87.5,105
247,DRO-ES5,Essence Sodisco 5L,Bidon,DROGERIE AL MASSAR,79.17,95
248,DRO-SRF,Sourfaseur 5KG Prodec,Unité,DROGERIE AL MASSAR,208.3,250
249,DRO-ATH,Athente Bleu Noir (durcisseur),Unité,DROGERIE AL MASSAR,16.67,20
250,DRO-MSK,Masque de Peinture,Unité,DROGERIE AL MASSAR,316.7,380
251,DRO-LUN,Lunettes de Soudeur Noir,Unité,DROGERIE AL MASSAR,12.5,15
252,DRO-GRA,Gratoir à Peinture,Unité,DROGERIE AL MASSAR,15,18
253,DRO-GRF,Graffeusse Rapid,Unité,DROGERIE AL MASSAR,150,180
254,DRO-PAN,Panceau Plat N21 AKRO,Unité,DROGERIE AL MASSAR,4.167,5
255,DRO-ROL,Rouleau Peinture PM,Unité,DROGERIE AL MASSAR,8.333,10
256,DRO-RCH,Recharge Rouleau Peinture,Unité,DROGERIE AL MASSAR,4.167,5
257,DRO-RSL,Rolou Solofiline 2KG,Unité,DROGERIE AL MASSAR,37.5,45
258,DRO-POT,Potchamo (décapant),Unité,DROGERIE AL MASSAR,15,18
259,DRO-SFP,Scotch Peinture,Rouleau,DROGERIE AL MASSAR,8.333,10
260,DRO-SEM,Scotch d'Emballage,Rouleau,DROGERIE AL MASSAR,8.333,10
261,DRO-SCN,Scotch Noir,Rouleau,DROGERIE AL MASSAR,8.333,10
262,DRO-MDIV,Midivinil 30KG,Sac,DROGERIE AL MASSAR,358.3,430
263,DRO-CZ4,Chromate de Zinc 4KG,Sac,DROGERIE AL MASSAR,125,150
264,AIT-DL5,Diluant 5L Sodicso,Bidon,AIT BEN ADDI,91.67,110
265,AIT-FGB,Fengiboi Noyer 1KG,Unité,AIT BEN ADDI,45.83,55
266,AIT-MAS,Mastics Noyer 1KG,Unité,AIT BEN ADDI,54.17,65
267,AIT-ND5,Noir Diamant 5KG ATLAS,Unité,AIT BEN ADDI,225,270
268,AIT-PBE,Peinture Beige 1KG ATLAS,Unité,AIT BEN ADDI,54.17,65
269,AIT-PBO,Peinture Bleu Océan 1KG,Unité,AIT BEN ADDI,50,60
270,AIT-PCH,Peinture Champagne ATLAS 1KG,Unité,AIT BEN ADDI,66.67,80
271,AIT-PGC,Peinture Gris Clear 1KG,Unité,AIT BEN ADDI,50,60
272,AIT-PISU,Peinture ISUSA Cellulo 1KG,kg,AIT BEN ADDI,50,60
273,AIT-PJN,Peinture Jaune 1KG,Unité,AIT BEN ADDI,54.17,65
274,AIT-PMC,Peinture Marron Cellulo 1KG,Unité,AIT BEN ADDI,50,60
275,AIT-PNM,Peinture Noir Mat 1KG ATLAS,Unité,AIT BEN ADDI,50,60
276,AIT-PP1,Peinture Préparée 001,kg,AIT BEN ADDI,75,90
277,AIT-PP2,Peinture Préparée 002,kg,AIT BEN ADDI,75,90
278,AIT-PPB,Peinture Préparée Bleu Ciel 1KG,Unité,AIT BEN ADDI,75,90
279,AIT-PPR,Peinture Préparée RAL 3012,Unité,AIT BEN ADDI,75,90
280,AIT-PPG,Peinture Préparée RAL 6000,Unité,AIT BEN ADDI,75,90
281,AIT-PPV,Peinture Préparée Vert Lotfi,Unité,AIT BEN ADDI,75,90
282,AIT-PRC,Peinture Rouge Cellulo 1/2KG,Unité,AIT BEN ADDI,29.17,35
283,AIT-PVW,Peinture Vert Wagon 1KG,Unité,AIT BEN ADDI,50,60
284,AIT-VM5,Vernis Mat 5KG ATLAS,Unité,AIT BEN ADDI,200,240
285,AIT-JNL,Journal (papier),Unité,AIT BEN ADDI,15,18
286,JOU-APB5,Apprêt Blanc 5KG,Unité,EQUIPEMENT JOUD,133.3,160
287,JOU-APF1,Apprêt Filler 1KG,Unité,EQUIPEMENT JOUD,116.7,140
288,JOU-PBM1,Peinture Blanc Mat 1KG,Unité,EQUIPEMENT JOUD,50,60
289,JOU-PBM5,Peinture Blanc Mat 5KG,Unité,EQUIPEMENT JOUD,216.7,260
290,JOU-PBL,Peinture Bleu Cellulo 1KG,Unité,EQUIPEMENT JOUD,50,60
291,JOU-PCH,Peinture Champagne ATLAS 1KG,Unité,EQUIPEMENT JOUD,70.83,85
292,JOU-PNM1,Peinture Noir Mat 1KG ATLAS,Unité,EQUIPEMENT JOUD,50,60
293,JOU-PNM5,Peinture Noir Mat Cellulo 5KG,Unité,EQUIPEMENT JOUD,225,270
294,JOU-PSL,Peinture Selulosique 1KG,Unité,EQUIPEMENT JOUD,54.17,65
295,JOU-PVW,Peinture Vert Wagon 1KG,Unité,EQUIPEMENT JOUD,54.17,65
296,JOU-PBL5,Peinture Blanc Cellulo 5KG,Unité,EQUIPEMENT JOUD,225,270
297,JOU-ND5,Noir Diamant 5KG ATLAS,Unité,EQUIPEMENT JOUD,225,270
298,JOU-ATH,Athente Vert ATLAS (durcisseur),Unité,EQUIPEMENT JOUD,12.5,15
299,JOU-VM1,Vernis Mat 1KG,Unité,EQUIPEMENT JOUD,50,60
300,JOU-VM5,Vernis Mat 5KG ATLAS,Unité,EQUIPEMENT JOUD,200,240
301,JOU-VAZ,Vernis Acrylique Z2 ATLAS 1KG,Unité,EQUIPEMENT JOUD,141.7,170
302,JOU-VNI,Vinyle ITRI ATLAS 30KG,Sac,EQUIPEMENT JOUD,416.7,500
303,JOU-DL,Diluant 5L Logic,Bidon,EQUIPEMENT JOUD,91.67,110
304,JOU-DS,Diluant 5L Sodicso,Bidon,EQUIPEMENT JOUD,91.67,110
305,JOU-WSP,White Spirit 1L,Bidon,EQUIPEMENT JOUD,16.67,20
306,JOU-SRF,Sourfaseur 5KG Prodec,Unité,EQUIPEMENT JOUD,183.3,220
307,JOU-TPN,Tipe Noyer,Unité,EQUIPEMENT JOUD,29.17,35
308,COL-F5,Colle Flambo 205 5KG,Bidon,DROGERIE AL MASSAR,150,180
309,COL-FR4,Colle Flambo Rapid 4KG,Sac,Hamza BELGOAUTI,350,420
310,COL-FR10,Colle Flambo Rapid 10KG,Sac,Hamza BELGOAUTI,350,420
311,COL-FR15,Colle Flambo Rapid 15KG,Sac,DROGERIE AL MASSAR,416.7,500
312,COL-AB,Colle à Bois,Bidon,COMPTOIR ZAGORA,50,60
313,COL-DYN,Colle à Bois Dynaglo 30KG,Sac,DROGERIE AL MASSAR,400,480
314,COL-PAN1,Colla Panaglo Sader 1KG,Unité,EQUIPEMENT JOUD,58.33,70
315,COL-PAN5,Colla Panaglo Sader 5KG,Unité,EQUIPEMENT JOUD,245.8,295
316,COL-CR750,Colla Crème 750ML Mixer,Unité,DROGERIE AL MASSAR,54.17,65
317,COL-TYT,Colle Spéciale GM TYTAN,Unité,DROGERIE AL MASSAR,50,60
318,COL-PRX,Colle Pernix 15L,Unité,EQUIPEMENT JOUD,416.7,500
319,COL-WBR,Colle Weber Gris 25KG,Sac,BARJ ALAMAL,75,90
320,COL-MOR,Colla Gris Mortycol 25KG,Sac,BARJ ALAMAL,50,60
321,COL-SNT,Sontophir Rapid 1KG,Unité,DROGERIE AL MASSAR,27.5,33
322,COL-MST,Mastic Silicone 1KG,Tube,PEINTURE ENNAKHIL,29.17,35
323,COL-SBL,Silicon Blanc Quilosa,Tube,BARJ ALAMAL,241.7,290
324,COL-SNI,Silicon Parpise Noir,Tube,DROGERIE AL MASSAR,50,60
325,COL-SMF,Silicon Montage Fix,Tube,DROGERIE AL MASSAR,33.33,40
326,JOU-AGR6,Agraffe 6mm,Boîte,DROGERIE AL MASSAR,9.167,11
327,JOU-AGR8,Agraffe 8mm,Boîte,DROGERIE AL MASSAR,9.167,11
328,JOU-AGR12,Agraffe 12mm,Boîte,DROGERIE AL MASSAR,41.67,50
329,JOU-AGF8,Agraffe Pistolet F08,Boîte,DROGERIE AL MASSAR,41.67,50
330,JOU-VS420,Vis Bois 4×20mm,Boîte,DROGERIE AL MASSAR,10.83,13
331,JOU-VS430,Vis Bois 4×30mm,Boîte,DROGERIE AL MASSAR,12.5,15
332,JOU-VS440,Vis Bois 4×40mm,Boîte,EQUIPEMENT JOUD,23.33,28
333,JOU-VS450,Vis Bois 4×50mm,Boîte,EQUIPEMENT JOUD,23.33,28
334,JOU-VS460,Vis Bois 4×60mm,Boîte,EQUIPEMENT JOUD,25,30
335,JOU-VS470,Vis Bois 4×70mm,Boîte,EQUIPEMENT JOUD,27.5,33
336,JOU-VS540,Vis Bois 5×40mm,Boîte,DROGERIE AL MASSAR,20.83,25
337,JOU-VS580,Vis Bois 5×80mm,Boîte,DROGERIE AL MASSAR,50,60
338,JOU-VM8,Vis Miche 4.8×25mm,Boîte,DROGERIE AL MASSAR,104.2,125
339,JOU-VM32,Vis Miche 4.8×32mm,Boîte,DROGERIE AL MASSAR,140,168
340,JOU-VM8X,Vis à Mish 8×25,Boîte,EQUIPEMENT JOUD,0.28,0.34
341,JOU-BOL,Boulon 8×80 Écrou,Boîte,DROGERIE AL MASSAR,1.667,2
342,JOU-BOL2,Boulon 8/80,Boîte,DROGERIE AL MASSAR,1.667,2
343,JOU-BO10,Boulon 10×100,Boîte,EQUIPEMENT JOUD,2.5,3
344,JOU-BO60,Boulon 10×60,Boîte,EQUIPEMENT JOUD,1.67,2
345,JOU-RD830,Rondelle 8/30mm,Boîte,DROGERIE AL MASSAR,0.2333,0.28
346,JOU-RD1030,Rondelle 10/30mm,Boîte,DROGERIE AL MASSAR,0.25,0.3
347,JOU-EC10,Écrou N°10,Boîte,DROGERIE AL MASSAR,0.25,0.3
348,JOU-ECG8,Écrou Galv 08,Boîte,DROGERIE AL MASSAR,0.2083,0.25
349,JOU-CHV8,Cheville 08 INGELEC,Boîte,DROGERIE AL MASSAR,8.333,10
350,JOU-CHV10,Cheville Plastique 10mm,Boîte,DROGERIE AL MASSAR,2.083,2.5
351,JOU-CHVM10,Cheville Métallique 10mm,Boîte,DROGERIE AL MASSAR,5,6
352,JOU-CHV12,Cheville Plastique 12mm,Boîte,EQUIPEMENT JOUD,0.33,0.4
353,JOU-DMF,Demontable Fixation Lit,Pièce,DROGERIE AL MASSAR,15.83,19
354,JOU-ECR,Écrou Tige Vide,Pièce,EQUIPEMENT JOUD,0.67,0.8
355,JOU-TIG,Tige Vide (filetée),Pièce,EQUIPEMENT JOUD,11.67,14
356,JOU-EQR2,Équerre 20/20mm,Pièce,EQUIPEMENT JOUD,0.9167,1.1
357,JOU-EQR4,Équerre 4/40mm,Pièce,EQUIPEMENT JOUD,16.67,20
358,JOU-SER70,Serrure Joff N°70,Pièce,EQUIPEMENT JOUD,91.67,110
359,JOU-SERC,Serrure Cadna 32,Pièce,EQUIPEMENT JOUD,15,18
360,JOU-SERP,Serrure Placard,Pièce,DROGERIE AL MASSAR,25,30
361,JOU-ANT,Patin Anti-Glissage,Pièce,EQUIPEMENT JOUD,12.5,15
362,JOU-PAT20,Patin Glissier 20mm,Pièce,DROGERIE AL MASSAR,1.5,1.8
363,JOU-PAT30,Patin Glissier 30mm,Pièce,DROGERIE AL MASSAR,2.083,2.5
364,JOU-CTD30,Coulisse Tondem 30 BLUM,Pièce,DROGERIE AL MASSAR,50,60
365,JOU-CTD27,Coulisse Tondem 27 BLUM,Pièce,EQUIPEMENT JOUD,137.5,165
366,JOU-CTH35,Coulisse Tondem Hydraulique 35,Pièce,DROGERIE AL MASSAR,45.83,55
367,JOU-CTH30,Coulisse Tondem Hydraulique 30,Pièce,DROGERIE AL MASSAR,45.83,55
368,JOU-CETl,Coulisse Équerre Touch Luch 35,Pièce,DROGERIE AL MASSAR,45.83,55
369,JOU-CEH45,Coulisse Équerre Hydraulique 45,Pièce,DROGERIE AL MASSAR,50,60
370,JOU-CE40,Coulisse Équerre Touch Luch 40,Pièce,DROGERIE AL MASSAR,54.17,65
371,JOU-MEC,Mécanisme 60cm,Pièce,DROGERIE AL MASSAR,116.7,140
372,JOU-CHR,Charnier Demi Coudée,Pièce,DROGERIE AL MASSAR,8.333,10
373,JOU-CHN,Charnier Normal,Pièce,DROGERIE AL MASSAR,8.333,10
374,JOU-CHC,Charnier Coudée Chrome,Pièce,DROGERIE AL MASSAR,10,12
375,JOU-TCH,Touche Luch,Pièce,EQUIPEMENT JOUD,13.33,16
376,JOU-EMB,Embout Visseuse BOSCH,Pièce,DROGERIE AL MASSAR,4.167,5
377,JOU-TEB,Tête Embout Visseuse,Pièce,DROGERIE AL MASSAR,10,12
378,JOU-MET20,Mètre Asist 5M,Unité,DROGERIE AL MASSAR,33.33,40
379,JOU-MET5,Mètre Betta 5M,Unité,DROGERIE AL MASSAR,33.33,40
380,JOU-CRY,Carret de Traçage,Unité,DROGERIE AL MASSAR,18,21.6
381,JOU-FIL,File Galvanisé,Unité,DROGERIE AL MASSAR,20.83,25
382,JOU-PIE,Pied Plastique 15cm,Pièce,EQUIPEMENT JOUD,5,6
383,JOU-PIE2,Pied Plastique 20cm,Pièce,EQUIPEMENT JOUD,16.67,20
384,JOU-ROE50,Roue 50mm,Pièce,DROGERIE AL MASSAR,8.75,10.5
385,JOU-ROE,Roue Poly,Pièce,EQUIPEMENT JOUD,12.5,15
386,JOU-DSQ25,Coulisse Tondem 25 Touch Luch,Pièce,JABAL EL NOURE,58.33,70
387,JOU-CHN2,Chaine Galvanisée 06mm,Pièce,EQUIPEMENT JOUD,11.67,14
388,JOU-CCHR,Chaine Claire 1KG,Pièce,COMPTOIR ZAGORA,44.17,53
389,ABR-DB115,Disque Abrasif 115 P40 BOSCH,Pièce,DROGERIE AL MASSAR,8.333,10
390,ABR-DB80,Disque Abrasif P80 230mm,Pièce,DROGERIE AL MASSAR,5,6
391,ABR-D80,Disque Abrasif 80,Pièce,DROGERIE AL MASSAR,5,6
392,ABR-DST,Disque SAIT 230mm,Pièce,DROGERIE AL MASSAR,29.17,35
393,ABR-DCN,Disque Coupage 125 NORTON,Pièce,DROGERIE AL MASSAR,8.333,10
394,ABR-DDI,Disque Diamant 115mm,Pièce,DROGERIE AL MASSAR,83.33,100
395,ABR-DT355,Disque Transeleuse 355mm,Pièce,DROGERIE AL MASSAR,25,30
396,ABR-DT300,Disque Transeleuse 300mm,Pièce,SGUIFER,26.67,32
397,ABR-CB180,Carte Abrasif 180 BOSCH,Pièce,DROGERIE AL MASSAR,2.5,3
398,ABR-CB220,Carte Abrasif 220 BOSCH,Pièce,DROGERIE AL MASSAR,2.5,3
399,ABR-CB400,Carte Abrasif 400 BOSCH,Pièce,DROGERIE AL MASSAR,2.083,2.5
400,ABR-LQ,Lame Quiteuse (guide),Pièce,DROGERIE AL MASSAR,8.333,10
401,ABR-LT244,Lame Sauteuse T244D,Pièce,DROGERIE AL MASSAR,8.333,10
402,ABR-MH,Mish Charner GM,Pièce,DROGERIE AL MASSAR,25,30
403,ABR-MB08,Mish Béton 08,Pièce,DROGERIE AL MASSAR,29.17,35
404,ABR-MI3,Mish Inox 3mm,Pièce,DROGERIE AL MASSAR,4.583,5.5
405,ABR-MI4,Mish Inox 4mm,Pièce,DROGERIE AL MASSAR,4.17,5
406,ABR-MI5,Mish Inox 5mm,Pièce,DROGERIE AL MASSAR,5,6
407,ABR-MI6,Mish Inox 6mm,Pièce,DROGERIE AL MASSAR,6.67,8
408,ABR-MI8,Mish Inox 8mm,Pièce,DROGERIE AL MASSAR,14.17,17
409,ABR-MI10,Mish Inox 10mm,Pièce,DROGERIE AL MASSAR,20.83,25
410,ABR-MI12,Mish Inox 12mm,Pièce,DROGERIE AL MASSAR,19.17,23
411,ABR-M20,Mish 20mm,Pièce,DROGERIE AL MASSAR,23.33,28
412,ABR-MNG80,Mangouste 80,Pièce,DROGERIE AL MASSAR,4.167,5
413,ABR-MNG100,Mangouste 100,Pièce,DROGERIE AL MASSAR,4.17,5
414,ABR-PTB,Pistolet à Colle,Pièce,DROGERIE AL MASSAR,233.3,280
415,ABR-PPPN,Pistolet Point Pneumatique,Pièce,INGCO,358.3,430
416,ABR-PPF20,Point Pneumatique F20,Pièce,EQUIPEMENT JOUD,40,48
417,ABR-PPF30,Point Pneumatique F30,Pièce,DROGERIE AL MASSAR,40,48
418,ABR-PPF40,Point Pneumatique F40,Pièce,DROGERIE AL MASSAR,33.33,40
419,ABR-PPF50,Point Pneumatique F50,Pièce,DROGERIE AL MASSAR,45.83,55
420,ABR-GRF,Grafeuse Rapid,Pièce,DROGERIE AL MASSAR,150,180
421,ABR-ISS,Disque Pansage P80 (ISA),Pièce,ISA BRASISTON,100,120
422,ABR-VLX,Vernis Luxe 1L (ISA),Unité,ISA BRASISTON,150,180
423,ABR-SNT2,Sontophir Rapid 1KG (ISA),Unité,ISA BRASISTON,23.33,28
424,ABR-AC5,Acide N17 5L,Bidon,DROGERIE AL MASSAR,62.5,75
425,ELE-CMT05,Câble MTH 0.50mm Transparent,mm,NOUR 7 ELEC,1.667,2
426,ELE-CMT2,Câble MTH 2×1.5 Rouge Noir,ML,NOUR 7 ELEC,2.92,3.5
427,ELE-CS3,Câble Souple 3×1.5mm SVIV,ML,NOUR 7 ELEC,7.5,9
428,ELE-CS25,Câble Souple 3G2.5mm,ML,NOUR 7 ELEC,12.5,15
429,ELE-CT075,Câble Tissu 0.75mm Noir,mm,NOUR 7 ELEC,23.33,28
430,ELE-DM10,Domino 10mm INGELEC,Pièce,NOUR 7 ELEC,5.833,7
431,ELE-DB22,Douille B22 Métallique,Pièce,NOUR 7 ELEC,2.642,3.17
432,ELE-DE14,Douille E14 Simple Noir,Pièce,NOUR 7 ELEC,5.833,7
433,ELE-INTR,Interrupteur Simple Galaxy,Pièce,NOUR 7 ELEC,12.62,15.14
434,ELE-COM,Commutateur,Pièce,NOUR 7 ELEC,33.33,40
435,ELE-PRS,Prise 2P+T Marron Galaxy,Pièce,NOUR 7 ELEC,16.39,19.67
436,ELE-PET,Prise Étupe Suspension Noir,Pièce,NOUR 7 ELEC,3.333,4
437,ELE-CDF,Cadre 4M Marron Galaxy,Pièce,NOUR 7 ELEC,15.26,18.31
438,ELE-MCH,Multicadre Double H Marron Galaxy,Pièce,NOUR 7 ELEC,6.87,8.24
439,ELE-MCT,Multicadre Triple H Marron Galaxy,Pièce,NOUR 7 ELEC,9.04,10.85
440,ELE-SOF,Sortie File Marron Galaxy,Pièce,NOUR 7 ELEC,10.64,12.77
441,ELE-PAL,Profil Aluminium Encastré 3M Noir,ML,NOUR 7 ELEC,100,120
442,ELE-PLF,Profilight Encastré Noir 10×10mm,ML,NOUR 7 ELEC,62.5,75
443,ELE-RB3,Ruban LED 3000K 10cm,ML,NOUR 7 ELEC,13.33,16
444,ELE-RBL,Ruban LED 12V 8mm 9W 3000K,ML,NOUR 7 ELEC,20.83,25
445,ELE-RBW,Ruban LED 8mm 100MT 8W 4000K,ML,NOUR 7 ELEC,8.33,10
446,ELE-SCG,Scotch Sigma GM,Rouleau,NOUR 7 ELEC,6.667,8
447,ELE-CMT05B,Câble MTH 0.50mm (AFRA ELEC),mm,AFRA ELEC,1.667,2
448,ELE-DE27,Douille E27 Simple (AFRA),Pièce,AFRA ELEC,6.667,8
449,ELE-LE27,Lampe LED E27 3000K,Pièce,NOUR 7 ELEC,16.67,20
450,[TRBZN01],Tissu TRABZON Couleur 01,Mètre,Hamza BELGOAUTI,60,72
451,[TRBZN03],Tissu TRABZON Couleur 03,Mètre,Hamza BELGOAUTI,60,72
452,[TRBZN05],Tissu TRABZON Couleur 05,Mètre,Hamza BELGOAUTI,60,72
453,[TRBZN06],Tissu TRABZON Couleur 06,Mètre,Hamza BELGOAUTI,60,72
454,[TRBZN07],Tissu TRABZON Couleur 07,Mètre,Hamza BELGOAUTI,60,72
455,[TRBZN08],Tissu TRABZON Couleur 08,Mètre,Hamza BELGOAUTI,50,60
456,[TRBZN09],Tissu TRABZON Couleur 09,Mètre,Hamza BELGOAUTI,60,72
457,[TRBZN12],Tissu TRABZON Couleur 12,Mètre,Hamza BELGOAUTI,60,72
458,[TRBZN13],Tissu TRABZON Couleur 13,Mètre,Hamza BELGOAUTI,60,72
459,[TRBZN15],Tissu TRABZON Couleur 15,Mètre,Hamza BELGOAUTI,60,72
460,[TRBZN16],Tissu TRABZON Couleur 16,Mètre,Hamza BELGOAUTI,60,72
461,[TRBZN17],Tissu TRABZON Couleur 17,Mètre,Hamza BELGOAUTI,60,72
462,[TRBZN3],Tissu TRABZON Couleur 3,Mètre,Hamza BELGOAUTI,60,72
463,[TRBZN6],Tissu TRABZON Couleur 6,Mètre,Hamza BELGOAUTI,60,72
464,[TRBZN9],Tissu TRABZON Couleur 9,Mètre,Hamza BELGOAUTI,62.5,75
465,[NRV01],Tissu NERVANA Couleur 01,Mètre,Hamza BELGOAUTI,75,90
466,[NRV02],Tissu NERVANA Couleur 02,Mètre,Hamza BELGOAUTI,75,90
467,[NRV03],Tissu NERVANA Couleur 03,Mètre,Hamza BELGOAUTI,—,—
468,[NRV05],Tissu NERVANA Couleur 05,Mètre,Hamza BELGOAUTI,75,90
469,[NRV07],Tissu NERVANA Couleur 07,Mètre,Hamza BELGOAUTI,75,90
470,[NRV08],Tissu NERVANA Couleur 08,Mètre,Hamza BELGOAUTI,62.5,75
471,[NRV14],Tissu NERVANA Couleur 14,Mètre,Hamza BELGOAUTI,75,90
472,[NRV15],Tissu NERVANA Couleur 15,Mètre,Hamza BELGOAUTI,75,90
473,[NRV16],Tissu NERVANA Couleur 16,Mètre,Hamza BELGOAUTI,75,90
474,[NRV3],Tissu NERVANA Couleur 3,Mètre,Hamza BELGOAUTI,75,90
475,[NRV5],Tissu NERVANA Couleur 5,Mètre,Hamza BELGOAUTI,75,90
476,[NRV12],Tissu NERVANA 12 (NIERVANA 12),Mètre,Hamza BELGOAUTI,75,90
477,[SCALA2],Tissu SCALA Couleur 2,Mètre,Hamza BELGOAUTI,130,156
478,[SCALA7],Tissu SCALA Couleur 7,Mètre,Hamza BELGOAUTI,130,156
479,[SCALARB],Tissu SCALA Rouge Brique,Mètre,Hamza BELGOAUTI,130,156
480,[MTX01],Tissu MATRIX Couleur 01,Mètre,Hamza BELGOAUTI,85,102
481,[MTX04],Tissu MATRIX Couleur 04,Mètre,Hamza BELGOAUTI,85,102
482,[MTX07],Tissu MATRIX Couleur 07,Mètre,Hamza BELGOAUTI,85,102
483,[MTX08],Tissu MATRIX Couleur 08,Mètre,Hamza BELGOAUTI,85,102
484,[BOUCL-B],Tissu BOUCLETTE Beige,Mètre,Hamza BELGOAUTI,100,120
485,[BOUCL-C1],Tissu BOUCLETTE Couleur 01,Mètre,Hamza BELGOAUTI,110,132
